club_name,event_title,event_description,date
Coding Club,Hackathon 2025,Hackathon for college students with coding challenges,2025-07-25
Coding Club,Python Workshop,Intro to Python workshop for beginners,2025-08-01
Robotics Club,Robotics Expo,Showcase of robots and demos,2025-07-15
Robotics Club,Embedded Systems Talk,Seminar on microcontrollers and sensors,2025-08-10
Drama Club,Annual Play,Full-length theatre production,2025-07-20
Drama Club,Auditions,Auditions for the annual play and rehearsals,2025-07-05
Music Club,Acoustic Night,Live acoustic performances and open-mic,2025-06-30
Music Club,Recording Workshop,Session on recording techniques and mixing,2025-08-05
Football Club,Independence Day Cup,Tournament with local teams,2025-07-05
Football Club,Training Camp,Weekly training sessions and drills,2025-06-20
Debate Club,Intercollege Debate,Debate competition with other colleges,2025-07-10
Debate Club,MUN Workshop,Model UN sessions,2025-08-12
Tamil Club,Cultural Fest,Tamil language and literature events and talks,2025-07-22
Quiz Club,Weekly Quiz,General knowledge and Busineess quiz,2025-07-01
Quiz Club,Inter-school Quiz,Competition with other schools,2025-07-15
Chess Club,Chess Tournament,Local chess tournament for members,2025-07-03
Chess Club,Strategy Workshop,Session on advanced chess strategies,2025-07-10
